ProviderSymbol,ProviderName,ProviderGUID,ChannelSymbol,ChannelName,LogRootPath,MaximumSizeInBytes
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_ACCOUNTS,Event Collector-Domain-Clients/Accounts,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_APPLICATIONS,Event Collector-Domain-Clients/Applications,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_DEVICES,Event Collector-Domain-Clients/Devices,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_NETWORK,Event Collector-Domain-Clients/Network and Internet,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_POWERSHELL,Event Collector-Domain-Clients/Powershell,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_SERVICES,Event Collector-Domain-Clients/Services,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_SYSTEM,Event Collector-Domain-Clients/System,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CLIENTS_EVENTS,Event Collector-Domain-Clients,{1E0D3DF8-84FB-47DB-B8BD-D55DA0E7A174},WEC_DOMAIN_CLIENTS_SECURITY,Event Collector-Domain-Clients/Update and Security,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_ACCOUNTS,Event Collector-Domain-Controllers/Accounts,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_APPLICATIONS,Event Collector-Domain-Controllers/Applications,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_DEVICES,Event Collector-Domain-Controllers/Devices,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_NETWORK,Event Collector-Domain-Controllers/Network and Internet,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_POWERSHELL,Event Collector-Domain-Controllers/Powershell,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_SERVICES,Event Collector-Domain-Controllers/Services,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_SYSTEM,Event Collector-Domain-Controllers/System,S:\Event Collector\Logs,314572800
WEC_DOMAIN_CONTROLLERS_EVENTS,Event Collector-Domain-Controllers,{FBAD1D6D-C994-4CB9-BA06-3F4D1D296099},WEC_DOMAIN_CONTROLLERS_SECURITY,Event Collector-Domain-Controllers/Update and Security,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_ACCOUNTS,Event Collector-Domain-Member Servers/Accounts,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_APPLICATIONS,Event Collector-Domain-Member Servers/Applications,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_DEVICES,Event Collector-Domain-Member Servers/Devices,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_NETWORK,Event Collector-Domain-Member Servers/Network and Internet,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_POWERSHELL,Event Collector-Domain-Member Servers/Powershell,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_SERVICES,Event Collector-Domain-Member Servers/Services,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_SYSTEM,Event Collector-Domain-Member Servers/System,S:\Event Collector\Logs,314572800
WEC_DOMAIN_SERVERS_EVENTS,Event Collector-Domain-Member Servers,{D9BA47A9-1969-4DE1-A877-80924C018A95},WEC_DOMAIN_SERVERS_SECURITY,Event Collector-Domain-Member Servers/Update and Security,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_ACCOUNTS,Event Collector-NonDomain-Clients/Accounts,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_APPLICATIONS,Event Collector-NonDomain-Clients/Applications,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_DEVICES,Event Collector-NonDomain-Clients/Devices,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_NETWORK,Event Collector-NonDomain-Clients/Network and Internet,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_POWERSHELL,Event Collector-NonDomain-Clients/Powershell,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_SERVICES,Event Collector-NonDomain-Clients/Services,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_SYSTEM,Event Collector-NonDomain-Clients/System,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_CLIENTS_EVENTS,Event Collector-NonDomain-Clients,{18BB46C9-3FD9-4353-8CDF-796FFFE80B82},WEC_NONDOMAIN_CLIENTS_SECURITY,Event Collector-NonDomain-Clients/Update and Security,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_ACCOUNTS,Event Collector-NonDomain-Servers/Accounts,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_APPLICATIONS,Event Collector-NonDomain-Servers/Applications,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_DEVICES,Event Collector-NonDomain-Servers/Devices,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_NETWORK,Event Collector-NonDomain-Servers/Network and Internet,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_POWERSHELL,Event Collector-NonDomain-Servers/Powershell,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_SERVICES,Event Collector-NonDomain-Servers/Services,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_SYSTEM,Event Collector-NonDomain-Servers/System,S:\Event Collector\Logs,314572800
WEC_NONDOMAIN_SERVERS_EVENTS,Event Collector-NonDomain-Servers,{4B8C14AD-AF20-4B59-BE14-6DD92B268BD9},WEC_NONDOMAIN_SERVERS_SECURITY,Event Collector-NonDomain-Servers/Update and Security,S:\Event Collector\Logs,314572800
